indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
1826;2016;2017;;;INCOMPLETO CON VALOR ALTO;2;10;;;INCOMPLETO CON VALOR ALTO;2;5
1826;2017;2018;;;INCOMPLETO CON VALOR ALTO;4;4;;;INCOMPLETO CON VALOR ALTO;3;17
1826;2019;2020;;6.99;INCOMPLETO CON VALOR ALTO;12;21;;;INCOMPLETO CON VALOR ALTO;12;21
1832;2012;2013;;;;;;;37.016;INCOMPLETO CON VALOR ALTO;1;18
1827;2015;2016;;;INCOMPLETO CON VALOR ALTO;2;13;;;INCOMPLETO CON VALOR ALTO;2;13
1831;2013;2014;;118.79;INCOMPLETO CON VALOR ALTO;2;8;89.482;;;;
1827;2017;2018;;;INCOMPLETO CON VALOR ALTO;3;11;;;INCOMPLETO CON VALOR ALTO;4;4
1827;2019;2020;;;;;;;;INCOMPLETO CON VALOR ALTO;12;21
1827;2020;2021;;;GRAN CRECIDA CON DATO DE ALTURA;2;10;;;GRAN CRECIDA CON DATO DE ALTURA;2;10
1828;2015;2016;;;INCOMPLETO CON VALOR ALTO;2;13;;;INCOMPLETO CON VALOR ALTO;2;13
1828;2016;2017;;;INCOMPLETO CON VALOR ALTO;2;5;;;INCOMPLETO CON VALOR ALTO;2;5
1830;2015;2016;;;INCOMPLETO CON VALOR ALTO;2;12;;;INCOMPLETO CON VALOR ALTO;2;12
1830;2016;2017;;;INCOMPLETO CON VALOR ALTO;2;5;;;INCOMPLETO CON VALOR ALTO;2;5
1830;2020;2021;81.133;;;;;;54.308;INCOMPLETO CON VALOR ALTO;12;11
1753;2007;2008;;10.13;INCOMPLETO CON VALOR ALTO;1;11;;10.061;INCOMPLETO CON VALOR ALTO;6;13
1826;2020;2021;;;GRAN CRECIDA CON DATO DE ALTURA;2;10;;;GRAN CRECIDA CON DATO DE ALTURA;2;10
1734;1915;1916;;;;;;;292;VALOR COMPLETADO;12;8
1727;2001;2002;;38.176;INCOMPLETO CON VALOR ALTO;2;6;31.242;;;;
1727;2003;2004;;143.617;INCOMPLETO CON VALOR ALTO;12;30;70.195;;;;
1727;2004;2005;;71.446;INCOMPLETO CON VALOR ALTO;10;31;53.97;;;;
1727;2008;2009;;221.253;INCOMPLETO CON VALOR ALTO;1;23;;170.4;INCOMPLETO CON VALOR ALTO;1;23
1728;2008;2009;326.8;;;;;;260.656;INCOMPLETO CON VALOR ALTO;1;24
1728;2013;2014;527.35;;;;;;454.024;INCOMPLETO CON VALOR ALTO;3;2
1729;2008;2009;;65.008;INCOMPLETO CON VALOR ALTO;1;23;;65.008;INCOMPLETO CON VALOR ALTO;1;23
1729;2009;2010;;56.63;INCOMPLETO CON VALOR ALTO;2;24;44.22;;;;
1734;1925;1926;;;;;;;246;VALOR COMPLETADO;12;22
1729;2011;2012;30.3;;;;;;21.816;INCOMPLETO CON VALOR ALTO;4;19
1727;1989;1990;;160;INCOMPLETO CON VALOR ALTO;12;22;150.218;;;;
1734;1916;1917;;;;;;;314;VALOR COMPLETADO;12;23
1734;1917;1918;;;;;;;262;VALOR COMPLETADO;1;20
1734;1918;1919;;;;;;;315;VALOR COMPLETADO;2;15
1734;1919;1920;;;;;;;170;VALOR COMPLETADO;4;12
1734;1920;1921;;;;;;;16;VALOR COMPLETADO;10;7
1734;1921;1922;;;;;;;246;VALOR COMPLETADO;4;6
1734;1922;1923;;;;;;;207;VALOR COMPLETADO;2;21
1734;1923;1924;;;;;;;326;VALOR COMPLETADO;3;26
1754;1959;1960;;;;;;;287;VALOR COMPLETADO;12;27
1729;2010;2011;78.14;;;;;;36.424;INCOMPLETO CON VALOR ALTO;1;6
1724;2005;2006;;87.038;INCOMPLETO CON VALOR ALTO;3;24;;73.673;INCOMPLETO CON VALOR ALTO;3;26
1942;1959;1960;;;;;;;82.5;VALOR COMPLETADO;12;22
1722;2008;2009;;62.143;INCOMPLETO CON VALOR ALTO;1;23;;49.373;INCOMPLETO CON VALOR ALTO;1;23
1723;2007;2008;;9.65;INCOMPLETO CON VALOR ALTO;1;16;;9.464;INCOMPLETO CON VALOR ALTO;5;3
1723;2010;2011;71.81;;;;;;37.3;INCOMPLETO CON VALOR ALTO;1;7
1724;1979;1980;;86;INCOMPLETO CON VALOR ALTO;1;;61.621;;;;
