indroea;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1010;195208;-0.17;5.216;13.971;7.3;-0.1;28;4;-0.22;4;1
1010;195209;-0.24;3.65;9.461;5.5;-0.16;1;3.1;-0.26;9;1
1010;195210;-0.04;10.087;27.017;41.3;0.5;25;4.7;-0.2;1;1
1010;195211;0.24;40.417;104.76;278;2;26;7.3;-0.1;18;1
1010;195212;0.19;20.371;54.562;33.5;0.4;1;15.7;0.1;27;1
1010;195301;0.05;13.294;35.605;16.2;0.12;4;11.2;0;20;1
1010;195302;0.04;12.425;30.059;13.4;0.06;7;11.2;0;15;1
1010;195303;0.09;14.865;39.813;16.2;0.12;17;13.4;0.06;1;1
1010;195304;0.15;18.463;47.857;41.3;0.5;2;15.7;0.1;16;1
1010;195305;0.06;13.616;36.469;16.2;0.12;1;10;-0.02;29;1
1010;195306;-0.03;9.627;24.952;13.4;0.06;11;8;-0.08;23;1
1010;195307;-0.15;5.987;16.036;8.6;-0.06;1;3.1;-0.26;27;1
1010;195308;-0.32;2.403;6.437;3.1;-0.26;1;1.8;-0.36;26;1
1010;195309;-0.32;2.39;6.195;2.9;-0.28;25;1.8;-0.36;1;1
1010;195310;-0.01;11.113;29.765;20.6;0.2;29;6.6;-0.12;1;1
1010;195311;0.16;18.517;47.995;24;0.26;29;14.3;0.08;21;1
1010;195312;0.14;17.674;47.339;22.9;0.24;1;12.6;0.04;28;1
1010;195401;-0.02;10.213;27.354;13.4;0.06;21;6.6;-0.12;15;1
1010;195402;0.07;14.714;35.597;37.8;0.46;11;10;-0.02;1;1
1010;195403;0.16;19.732;52.851;74;0.84;17;11.2;0;1;1
1010;195404;0.07;14.22;36.858;17.3;0.14;1;11.7;0.02;22;1
1010;195405;0.01;11.59;31.044;15.7;0.1;9;5.5;-0.16;31;1
1010;195406;-0.24;3.72;9.642;5;-0.18;1;2.6;-0.3;27;1
1010;195407;-0.36;1.923;5.149;2.4;-0.32;1;1.5;-0.4;28;1
1010;195408;-0.33;2.319;6.212;2.6;-0.3;3;1.5;-0.4;1;1
1010;195409;-0.22;4.63;12.001;10;-0.02;25;2.1;-0.34;1;1
1010;195410;-0.2;4.606;12.338;10;-0.02;26;2.6;-0.3;17;1
1010;195411;0;11.38;29.497;20.6;0.2;28;3.5;-0.24;1;1
1010;195412;-0.13;6.719;17.997;15.7;0.1;3;4;-0.22;24;1
1010;195501;0.5;61.397;164.445;221;1.74;23;3.5;-0.24;1;1
1010;195502;0.32;29.2;70.641;69.6;0.8;6;18.3;0.16;26;1
1010;195503;0.27;27.648;74.053;123.8;1.2;25;17.3;0.14;1;1
1010;195504;0.02;11.907;30.862;16.2;0.12;1;8.6;-0.06;30;1
1010;195505;-0.13;6.497;17.401;8.6;-0.06;1;3.1;-0.26;29;1
1010;195506;-0.19;5.173;13.409;11.2;0;19;2.6;-0.3;29;1
1010;195507;-0.33;2.226;5.962;2.6;-0.3;1;1.8;-0.36;25;1
1010;195508;-0.35;1.984;5.314;2.4;-0.32;12;1.5;-0.4;30;1
1010;195509;-0.34;2.113;5.478;2.6;-0.3;25;1.5;-0.4;1;1
1010;195510;-0.25;3.439;9.21;5;-0.18;25;2.6;-0.3;1;1
1010;195511;0.03;13.817;35.813;36.3;0.44;5;4;-0.22;1;1
1010;195512;0.15;22.545;60.385;83.2;0.92;24;4;-0.22;1;1
1010;195601;0.06;13.777;36.901;18.3;0.16;31;11.2;0;10;1
